n,time,cost
100,0.00792,29.5585
600,0.09486,171.841
1100,0.10156,321.795
1600,0.15664,457.099
2100,0.21814,612.075
2600,0.28182,738.757
3100,0.32306,880.962
3600,0.38698,1038.2
4100,0.4463,1175.37
4600,0.5123,1318.2
5100,0.56608,1456.04
5600,0.62532,1606.4
6100,0.71476,1731.59
6600,0.75164,1892.85
7100,0.81488,2018.94
7600,0.9124,2159.32
8100,0.96392,2316.95
8600,1.02198,2450.58
9100,1.1128,2622.1
9600,1.12474,2754.76
